Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,Plugin Output
"19506","","","None","192.168.9.1","tcp","0","Nessus Scan Information","Information about the Nessus scan.","This script displays, for each tested host, information about the
scan itself :

 - The version of the plugin set
 - The type of plugin feed (HomeFeed or ProfessionalFeed)
 - The version of the Nessus Engine
 - The port scanner(s) used
 - The port range scanned
 - Whether credentialed or third-party patch management 
   checks are possible
 - The date of the scan
 - The duration of the scan
 - The number of hosts scanned in parallel
 - The number of checks done in parallel","n/a","Information about this scan : 

Nessus version : 5.0.3 (Nessus 5.2.1 is available - consider upgrading)

Plugin feed version : 201305290115
Type of plugin feed : HomeFeed (Non-commercial use only)
Scanner IP : 192.168.9.12
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report Verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 80
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2013/5/29 3:37
Scan duration : 284 sec
"
"21643","","","None","192.168.9.1","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This script detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","
Here is the list of SSL ciphers supported by the remote server :

  Medium Strength Ciphers (>= 56-bit and < 112-bit key)

    SSLv3
      DES-CBC-SHA                  Kx=RSA         Au=RSA      Enc=DES(56)              Mac=SHA1   

  High Strength Ciphers (>= 112-bit key)

    SSLv3
      DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES(168)            Mac=SHA1   
      RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
      RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"22964","","","None","192.168.9.1","tcp","443","Service Detection","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","An SSLv3 server answered on this port.
"
"22964","","","None","192.168.9.1","tcp","22","Service Detection","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","An SSH server is running on this port."
"22964","","","None","192.168.9.1","tcp","80","Service Detection","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","A web server is running on this port."
"22964","","","None","192.168.9.1","tcp","443","Service Detection","The remote service could be identified.","It was possible to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","A web server is running on this port through SSLv3."
"35291","CVE-2004-2761","4.0","Medium","192.168.9.1","tcp","443","SSL Certificate Signed using Weak Hashing Algorithm","The SSL certificate has been signed using a weak hash algorithm.","The remote service uses an SSL certificate that has been signed using
a cryptographically weak hashing algorithm - MD2, MD4, or MD5.  These
signature algorithms are known to be vulnerable to collision attacks. 
In theory, a determined attacker may be able to leverage this weakness
to generate another certificate with the same digital signature, which
could allow him to masquerade as the affected service.","Contact the Certificate Authority to have the certificate reissued.","
Here is the service's SSL certificate :

Subject Name: 

Common Name: IOS-Self-Signed-Certificate-1163736704

Issuer Name: 

Common Name: IOS-Self-Signed-Certificate-1163736704

Serial Number: 01 

Version: 3

Signature Algorithm: MD5 With RSA Encryption

Not Valid Before: Mar 01 00:03:28 1993 GMT
Not Valid After: Jan 01 00:00:00 2020 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 1024 bits
Public Key: 00 A8 B7 E8 2C 0B C9 E6 09 6C 59 82 13 23 53 8A 1B 9C 1A A7 
            9E F1 2F F3 A8 61 3B 4E 87 86 0C AD D4 9B 48 96 80 17 C8 82 
            99 90 51 40 F4 7F 89 16 96 4C E7 9C A0 21 FD B2 62 7D 4C 3D 
            12 06 CB 86 4A 1E 6B 3A 50 88 1E 66 29 5D CB CC 2E 77 D5 0E 
            AD DD A6 61 7A 9C 5C 4F 8B 34 29 E7 AF CF 61 8B 18 1F 74 F2 
            BB 91 20 BC 1B 4C 85 8D C7 24 5F 21 0B DE D6 14 6C 68 E7 E4 
            5C E7 3A 94 33 F2 A3 00 1F 
Exponent: 01 00 01 

Signature Length: 128 bytes / 1024 bits
Signature: 00 03 01 1E 2D 99 42 72 DA 7A DA 99 CD 27 FA FF B6 01 75 F4 
           AC 61 F9 D3 84 92 B2 19 73 61 0E A0 45 48 0C 90 E9 1B CC 12 
           F4 28 00 E9 13 0F 65 CC B8 BC EC F2 6A 20 D7 B6 1D 35 1A 3A 
           3E 40 9B 82 B5 2E B7 42 34 88 EE BD 2E 29 EA F9 68 DA E5 B0 
           FB C1 43 67 8B 7A 83 27 AD 5B 4B 76 E6 95 7E 01 32 3E FD 8A 
           21 76 86 EA 6D 43 9B 39 80 9D 65 CC B0 CF BE 4A 1E 2C 3A BF 
           BB 4F 06 42 02 1B CD FC F3 

Extension: Basic Constraints (2.5.29.19)
Critical: 1

Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: SodecoPOE.formatechedu.com


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 65 2F 17 D9 CA 84 34 F3 79 4B F3 A9 EB CE AF 49 F1 29 07 B5 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 65 2F 17 D9 CA 84 34 F3 79 4B F3 A9 EB CE AF 49 F1 29 07 B5 


"
"42873","","4.3","Medium","192.168.9.1","tcp","443","SSL Medium Strength Cipher Suites Supported","The remote service supports the use of medium strength SSL ciphers.","The remote host supports the use of SSL ciphers that offer medium
strength encryption, which we currently regard as those with key 
lengths at least 56 bits and less than 112 bits.

Note: This is considerably easier to exploit if the attacker is on the
same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","
Here is the list of medium strength SSL ciphers supported by the remote server :

  Medium Strength Ciphers (>= 56-bit and < 112-bit key)

    SSLv3
      DES-CBC-SHA                  Kx=RSA         Au=RSA      Enc=DES(56)              Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"50686","CVE-1999-0511","3.2","Low","192.168.9.1","tcp","0","IP Forwarding Enabled","The remote host has IP forwarding enabled.","The remote host has IP forwarding enabled.  An attacker may use this
flaw to use the to route packets through this host and potentially
bypass some firewalls / routers / NAC filtering.

Unless the remote host is a router, it is recommended that you disable IP
forwarding.","On Linux, you can disable IP forwarding by doing :

echo 0 > /proc/sys/net/ipv4/ip_forward

On Windows, set the key 'IPEnableRouter' to 0 under

HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameter

On Mac OS X, you can disable IP forwarding by executing the command :

sysctl -w net.inet.ip.forwarding=0

For other systems, check with your vendor.",""
"51192","","6.4","Medium","192.168.9.1","tcp","443","SSL Certificate Cannot Be Trusted","The SSL certificate for this service cannot be trusted.","The server's X.509 certificate does not have a signature from a known
public certificate authority.  This situation can occur in three
different ways, each of which results in a break in the chain below
which certificates cannot be trusted. 

First, the top of the certificate chain sent by the server might not
be descended from a known public certificate authority.  This can
occur either when the top of the chain is an unrecognized, self-signed
certificate, or when intermediate certificates are missing that would
connect the top of the certificate chain to a known public certificate
authority. 

Second, the certificate chain may contain a certificate that is not
valid at the time of the scan.  This can occur either when the scan
occurs before one of the certificate's 'notBefore' dates, or after one
of the certificate's 'notAfter' dates. 

Third, the certificate chain may contain a signature that either
didn't match the certificate's information, or could not be verified.  
Bad signatures can be fixed by getting the certificate with
the bad signature to be re-signed by its issuer.  Signatures that
could not be verified are the result of the certificate's issuer using
a signing algorithm that Nessus either does not support or does not
recognize. 

If the remote host is a public host in production, any break in the
chain nullifies the use of SSL as anyone could establish a man-in-the-
middle attack against the remote host.","Purchase or generate a proper certificate for this service.","
The following certificate was at the top of the certificate
chain sent by the remote host, but is signed by an unknown
certificate authority :

|-Subject : CN=IOS-Self-Signed-Certificate-1163736704
|-Issuer  : CN=IOS-Self-Signed-Certificate-1163736704
"
"54615","","","None","192.168.9.1","tcp","0","Device Type","It is possible to guess the remote device type.","Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).","n/a","Remote device type : router
Confidence level : 90
"
"56984","","","None","192.168.9.1","tcp","443","SSL / TLS Versions Supported","The remote service encrypts communications.","This script detects which SSL and TLS versions are supported by the
remote service for encrypting communications.","n/a","
This port supports SSLv3.
"
"57582","","6.4","Medium","192.168.9.1","tcp","443","SSL Self-Signed Certificate","The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.","Purchase or generate a proper certificate for this service.","
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=IOS-Self-Signed-Certificate-1163736704
"
"62563","","","None","192.168.9.1","tcp","443","SSL Compression Methods Supported","The remote service supports one or more compression methods for SSL
connections.","This script detects which compression methods are supported by the
remote service for SSL connections.","n/a","
Nessus was able to confirm that the following compression method is 
supported by the target :

  NULL (0x00)
"
"65821","CVE-2013-2566","2.6","Low","192.168.9.1","tcp","443","SSL RC4 Cipher Suites Supported","The remote service supports the use of the RC4 cipher.","The remote host supports the use of RC4 in one or more cipher suites. 
The RC4 cipher is flawed in its generation of a pseudo-random stream of
bytes so that a wide variety of small biases are introduced into the
stream, decreasing its randomness. 

If plaintext is repeatedly encrypted (e.g.  HTTP cookies), and an
attacker is able to obtain many (i.e.  tens of millions) ciphertexts,
the attacker may be able to derive the plaintext.","Reconfigure the affected application, if possible, to avoid use of RC4
ciphers.","
Here is the list of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    SSLv3
      RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
      RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"10107","","","None","192.168.9.11","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
remote web server.","n/a","The remote web server type is :

Apache/2.0.58 (Win32) mod_jk/1.2.20

You can set the directive 'ServerTokens Prod' to limit the information
emanating from the server in its response headers."
"10114","CVE-1999-0524","","None","192.168.9.11","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The difference between the local and remote clocks is -147 seconds.
"
"10287","","","None","192.168.9.11","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","For your information, here is the traceroute from 192.168.9.12 to 192.168.9.11 : 
192.168.9.12
192.168.9.11
"
"10394","","","None","192.168.9.11","tcp","445","Microsoft Windows SMB Log In Possible","It is possible to log into the remote host.","The remote host is running Microsoft Windows operating
system or Samba, a CIFS/SMB server for Unix.  It was 
possible to log into it using one of the following 
accounts :

- NULL session
- Guest account
- Given Credentials","n/a","- NULL sessions are enabled on the remote host
"
"10785","","","None","192.168.9.11","tcp","445","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure","It is possible to obtain information about the remote operating
system.","It is possible to get the remote operating system name and version
(Windows and/or Samba) by sending an authentication request to port 139
or 445.","n/a","The remote Operating System is : Windows 5.1
The remote native lan manager is : Windows 2000 LAN Manager
The remote SMB Domain Name is : XPIE8
"
"10884","","","None","192.168.9.11","udp","123","Network Time Protocol (NTP) Server Detection","An NTP server is listening on the remote host.","An NTP (Network Time Protocol) server is listening on this port.  It
provides information about the current date and time of the remote
system and may provide system information.","n/a",""
"11011","","","None","192.168.9.11","tcp","445","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","
A CIFS server is running on this port.
"
"11011","","","None","192.168.9.11","tcp","139","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","
An SMB server is running on this port.
"
"11213","CVE-2003-1567","4.3","Medium","192.168.9.11","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods.  TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these methods.  Refer to the plugin output for more information.","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : 

------------------------------ snip ------------------------------
TRACE /Nessus1684480780.html HTTP/1.1
Connection: Close
Host: 192.168.9.11
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------

and received the following response from the remote server :

------------------------------ snip ------------------------------
HTTP/1.1 200 OK
Date: Wed, 29 May 2013 07:42:55 GMT
Server: Apache/2.0.58 (Win32) mod_jk/1.2.20
Keep-Alive: timeout=15, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: message/http


TRACE /Nessus1684480780.html HTTP/1.1
Connection: Keep-Alive
Host: 192.168.9.11
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------
"
"11213","CVE-2004-2320","4.3","Medium","192.168.9.11","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods.  TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these methods.  Refer to the plugin output for more information.","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : 

------------------------------ snip ------------------------------
TRACE /Nessus1684480780.html HTTP/1.1
Connection: Close
Host: 192.168.9.11
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------

and received the following response from the remote server :

------------------------------ snip ------------------------------
HTTP/1.1 200 OK
Date: Wed, 29 May 2013 07:42:55 GMT
Server: Apache/2.0.58 (Win32) mod_jk/1.2.20
Keep-Alive: timeout=15, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: message/http


TRACE /Nessus1684480780.html HTTP/1.1
Connection: Keep-Alive
Host: 192.168.9.11
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------
"
"11213","CVE-2010-0386","4.3","Medium","192.168.9.11","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods.  TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these methods.  Refer to the plugin output for more information.","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : 

------------------------------ snip ------------------------------
TRACE /Nessus1684480780.html HTTP/1.1
Connection: Close
Host: 192.168.9.11
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------

and received the following response from the remote server :

------------------------------ snip ------------------------------
HTTP/1.1 200 OK
Date: Wed, 29 May 2013 07:42:55 GMT
Server: Apache/2.0.58 (Win32) mod_jk/1.2.20
Keep-Alive: timeout=15, max=100
Connection: Keep-Alive
Transfer-Encoding: chunked
Content-Type: message/http


TRACE /Nessus1684480780.html HTTP/1.1
Connection: Keep-Alive
Host: 192.168.9.11
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------
"
"11219","","","None","192.168.9.11","tcp","139","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 139/tcp was found to be open"
"11219","","","None","192.168.9.11","tcp","135","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 135/tcp was found to be open"
"11219","","","None","192.168.9.11","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 80/tcp was found to be open"
"11219","","","None","192.168.9.11","tcp","445","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 445/tcp was found to be open"
"11219","","","None","192.168.9.11","tcp","3389","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.
It shall be reasonably quick even against a firewalled target.

Note that SYN scanners are less intrusive than TCP (full 
connect) scanners against broken services, but they might 
kill lame misconfigured firewalls. They might also leave unclosed
connections on the remote target, if the network is loaded.","Protect your target with an IP filter.","Port 3389/tcp was found to be open"
